,Actual_Data,New_Prediction,Error
870,253,258.0341095979918,-5.034109597991801
908,297,301.3790854396964,-4.379085439696382
797,196,196.6086988665668,-0.6086988665668116
576,267,263.9508882418576,3.0491117581423737
23,230,221.84138831396046,8.158611686039535
168,294,278.7510544250974,15.24894557490262
847,200,202.57122934855522,-2.571229348555221
94,221,237.04996938566228,-16.04996938566228
562,306,308.5379545160415,-2.537954516041509
214,344,374.11957198435897,-30.11957198435897
684,262,265.4135587635071,-3.413558763507126
881,322,294.02098089002374,27.979019109976264
405,184,189.44223887027255,-5.442238870272547
1015,200,201.06096712957475,-1.060967129574749
803,184,184.99552560750746,-0.9955256075074601
888,225,242.7073212944572,-17.707321294457188
172,262,263.9310331899417,-1.9310331899416724
258,182,180.23136963958206,1.7686303604179443
720,228,218.8973463502267,9.102653649773288
77,200,199.43369656913816,0.5663034308618364
680,235,223.97552055582804,11.02447944417196
47,409,354.4909556394725,54.509044360527525
753,310,316.4843172527835,-6.484317252783512
355,281,276.66353747928355,4.336462520716452
765,327,314.8688986778129,12.131101322187078
951,179,186.2376160399867,-7.237616039986705
545,334,322.6772438897018,11.3227561102982
766,356,335.97675636332247,20.023243636677535
522,177,177.58491532909267,-0.5849153290926665
255,191,188.13657746746105,2.863422532538948
103,281,291.72279496514864,-10.722794965148637
294,230,222.0342317577156,7.965768242284412
885,274,272.1569683872206,1.8430316127793844
700,290,280.62333872558565,9.376661274414346
316,202,204.25799903991145,-2.2579990399114536
667,244,254.29488844085986,-10.294888440859864
7,255,264.28079113948263,-9.28079113948263
943,221,216.385624900351,4.61437509964901
397,264,263.9710339673236,0.02896603267640785
978,196,196.93285070345112,-0.9328507034511233
642,342,364.5850760066311,-22.585076006631084
322,168,165.33570252823148,2.6642974717685206
677,271,268.3597312599993,2.6402687400006926
635,400,353.6700757203655,46.3299242796345
55,262,258.3536828359106,3.646317164089396
612,198,197.86860843125572,0.13139156874427727
309,258,262.48637786099977,-4.486377860999767
370,294,279.67541147886635,14.324588521133649
641,347,324.9427791377507,22.057220862249324
593,235,227.49874022275537,7.501259777244627
923,368,366.0595316231876,1.9404683768124187
17,354,323.0369125180546,30.963087481945422
62,297,294.09862942292966,2.901370577070338
569,218,216.62635071498707,1.373649285012931
553,290,342.5908598193206,-52.5908598193206
428,218,208.42240110238257,9.577598897617435
27,224,214.26126396534738,9.738736034652618
855,191,199.52615831636666,-8.526158316366661
946,223,221.8859676903079,1.1140323096921065
638,225,217.25781165782337,7.742188342176632
3,255,263.1501540482166,-8.15015404821662
613,228,216.37345538143626,11.626544618563742
674,269,268.4376022820046,0.5623977179953954
424,237,251.0936900780585,-14.0936900780585
227,435,357.7340564900833,77.26594350991672
396,184,187.18096468774047,-3.1809646877404703
320,202,206.3264297786884,-4.326429778688407
501,308,284.96285971265434,23.037140287345665
561,306,308.5379545160415,-2.537954516041509
789,179,182.48037969014726,-3.4803796901472595
97,237,247.92235889343058,-10.922358893430584
303,237,250.7418015957591,-13.741801595759114
786,175,176.40084086670277,-1.4008408667027652
970,131,134.4257425996401,-3.4257425996401025
445,380,342.6844262751709,37.31557372482911
963,212,209.16989398539758,2.8301060146024213
910,313,317.30306663913206,-4.303066639132055
725,224,288.5329022320336,-64.53290223203362
675,255,263.1501540482166,-8.15015404821662
872,253,259.4888985261422,-6.488898526142179
373,308,284.39039114118475,23.60960885881525
617,175,178.01381137546622,-3.0138113754662186
1054,281,275.064003564262,5.935996435737991
307,251,257.4082036553984,-6.408203655398381
494,145,143.28531446270648,1.7146855372935192
856,198,205.2938094348936,-7.293809434893603
66,237,228.06449966250102,8.93550033749898
302,258,262.48637786099977,-4.486377860999767
653,347,324.9427791377507,22.057220862249324
925,393,372.31056884324744,20.689431156752562
1060,264,258.61426370246267,5.385736297537335
26,251,251.94786164282334,-0.9478616428233408
340,200,195.924776953884,4.075223046116008
242,290,287.5796429054681,2.42035709453188
10,225,220.78103132475067,4.218968675249329
861,152,152.52947533905493,-0.529475339054926
59,267,263.6267364049733,3.3732635950266854
732,304,307.4986250405227,-3.498625040522711
1031,216,219.9487814066365,-3.948781406636499
237,271,276.0956475067795,-5.095647506779528
563,301,306.5952771701509,-5.595277170150894
779,361,340.0059742537496,20.994025746250372
806,191,191.4526536389601,-0.4526536389601006
1048,192,166.78493645613895,25.21506354386105
480,294,350.1651883482973,-56.165188348297306
542,253,261.01259733886457,-8.012597338864566
89,237,247.92235889343058,-10.922358893430584
5,230,245.44304730098753,-15.44304730098753
41,246,230.0291178341703,15.970882165829693
13,359,363.00511416696366,-4.005114166963665
936,184,188.07758509609437,-4.077585096094367
890,276,270.4804269081249,5.519573091875088
1003,310,294.14460375015165,15.855396249848354
22,230,221.84138831396046,8.158611686039535
889,239,251.82316776836603,-12.823167768366034
222,362,379.4605522023229,-17.4605522023229
589,225,217.02379497491123,7.976205025088774
609,216,209.5407740616818,6.4592259383182125
672,262,295.1178016770821,-33.11780167708213
187,290,278.6853529220067,11.3146470779933
1029,221,217.07510181327663,3.924898186723368
357,221,217.07510181327663,3.924898186723368
702,170,172.97563794724678,-2.9756379472467813
989,126,122.66528167445034,3.334718325549659
71,380,365.17059674783496,14.829403252165037
53,308,304.0419703346173,3.9580296653826963
273,207,202.95437355680625,4.045626443193754
933,207,211.58604675400923,-4.586046754009232
243,285,326.85429493944457,-41.85429493944457
1030,218,222.39480135342157,-4.39480135342157
893,320,315.45267331026605,4.54732668973395
754,419,354.7519550556219,64.24804494437808
134,324,310.49919297912203,13.500807020877971
301,317,324.23718917384224,-7.237189173842239
409,196,190.9893118154475,5.010688184552492
0,196,197.72503590615972,-1.725035906159718
247,184,183.17541160331578,0.82458839668422
317,198,197.9856167727118,0.014383227288192302
498,244,252.91593461500855,-8.915934615008553
265,317,318.24641528688585,-1.2464152868858491
878,248,259.5402053645076,-11.540205364507585
203,163,159.25616370478696,3.7438362952130433
422,209,207.64736763445026,1.3526323655497379
308,237,296.40907947977155,-59.40907947977155
141,290,278.4513362390946,11.548663760905413
87,230,240.77575394905224,-10.775753949052245
430,232,219.2682264265109,12.731773573489107
788,200,201.07526718124788,-1.075267181247881
73,380,365.17059674783496,14.829403252165037
727,239,252.73322477046187,-13.733224770461874
58,285,267.0284637445311,17.97153625546889
254,182,183.2991290764958,-1.2991290764958023
892,281,247.72747952996914,33.272520470030855
318,195,245.84295752611564,-50.84295752611564
1027,225,214.3828956646647,10.617104335335313
111,292,298.36263284114796,-6.362632841147956
464,276,270.0249666781114,5.9750333218885885
777,380,347.31054638794916,32.68945361205084
859,359,334.740511604636,24.259488395363974
511,264,239.67989806737086,24.320101932629143
471,317,318.24641528688585,-1.2464152868858491
44,336,310.37557011899406,25.624429881005938
493,216,216.82123007844854,-0.8212300784485365
218,362,379.4605522023229,-17.4605522023229
261,317,318.24641528688585,-1.2464152868858491
858,179,184.41750203579502,-5.4175020357950245
750,297,309.7009068516881,-12.700906851688103
400,205,202.1402973824754,2.85970261752459
759,363,337.34354067025913,25.65645932974087
719,221,219.0265242105975,1.9734757894024995
543,196,206.6336259412942,-10.633625941294213
1008,230,228.90126424155704,1.098735758442956
67,237,228.06449966250102,8.93550033749898
249,191,192.01082215875658,-1.0108221587565822
914,290,279.2578214934763,10.742178506523715
351,382,384.589791995599,-2.5897919955990005
224,432,358.0459441950009,73.95405580499909
329,285,273.1782826700318,11.82171732996818
122,338,315.33118098289646,22.668819017103544
381,336,325.1232638364869,10.876736163513101
683,207,206.58030151351647,0.4196984864835258
221,380,342.6844262751709,37.31557372482911
110,292,298.36263284114796,-6.362632841147956
678,260,265.15297789695506,-5.152977896955065
127,260,258.09310196935854,1.9068980306414574
406,170,229.3142756279815,-59.31427562798149
98,202,202.68620177030502,-0.6862017703050185
695,184,189.3252305288165,-5.3252305288164905
1043,198,196.97198802290183,1.0280119770981742
997,235,230.11190288758684,4.888097112413163
519,230,226.8605701481951,3.1394298518048913
625,205,200.45149177141292,4.548508228587082
785,179,182.48037969014726,-3.4803796901472595
363,235,221.1006045626694,13.899395437330611
524,202,199.50143399193516,2.4985660080648415
453,271,276.0956475067795,-5.095647506779528
604,193,193.40204011657468,-0.40204011657468186
442,362,379.4605522023229,-17.4605522023229
679,294,278.29645765301507,15.703542346984932
184,294,279.2065146551109,14.79348534488912
968,189,197.1971467110376,-8.19714671103759
43,294,252.0648699842794,41.9351300157206
901,251,257.52521199685447,-6.525211996854466
1026,223,217.56969936274083,5.430300637259165
431,239,231.7304283965931,7.269571603406888
514,196,200.4417703187053,-4.441770318705295
623,253,238.29325870851827,14.706741291481734
808,207,204.77448756099795,2.2255124390020455
940,389,378.57151767457833,10.428482325421669
165,248,256.4581458759207,-8.458145875920707
327,264,309.9124239246821,-45.912423924682116
278,230,290.3808474946925,-60.38084749469249
331,259,307.973171046276,-48.97317104627598
747,267,290.5444715634995,-23.544471563499485
102,246,251.07567488535096,-5.0756748853509635
345,396,347.19108998028594,48.80891001971406
138,253,252.89791942230107,0.10208057769892775
916,275,245.09532527115286,29.90467472884714
86,221,237.04996938566228,-16.04996938566228
761,260,265.9737632030099,-5.9737632030099235
342,138,143.87237375939912,-5.8723737593991245
368,267,312.3984446488491,-45.39844464884908
116,292,298.36263284114796,-6.362632841147956
993,384,343.63244813494225,40.36755186505775
478,294,350.1651883482973,-56.165188348297306
836,175,184.82537056847747,-9.825370568477467
70,320,303.57989558593187,16.420104414068135
387,343,324.76006929320397,18.23993070679603
132,370,326.96971910392193,43.03028089607807
485,221,241.60025439614148,-20.60025439614148
185,262,262.6690877055465,-0.6690877055464739
277,242,251.37997167031932,-9.379971670319321
482,186,193.34304774520797,-7.3430477452079685
926,393,373.1170540976292,19.882945902370807
447,414,340.2761482656647,73.72385173433531
152,189,195.5976127960161,-6.597612796016108
949,258,242.2909301994439,15.709069800556108
427,251,300.5402845096368,-49.54028450963682
540,271,270.0628369227349,0.9371630772650974
898,228,236.02503457486878,-8.025034574868783
297,258,262.48637786099977,-4.486377860999767
444,344,373.5471034128894,-29.547103412889385
541,244,254.86735701232945,-10.86735701232945
